Nombre grupo,Nombre,Cod. Fact,Cod,FAM,Marca,Pdte 05.05,Fact a abr12,Fact a abr11,FC NT abr12,FC NT abr11,Ped a abr12,Ped a abr11,Fact_tot 2011,Fact_tot 2010,Pzas último pedido,Fecha últ. Ped.,Provincia,Dirección,Localidad,CP,Tel.
IMPORTANTES 1,"CENTRAL OPTICA FRONTOMAN, S.A.",000106,000106,,MAC,,1,2,42.00,70.00,1.00,2.00,2,5,,,ALBACETE,"ROSARIO, 62",ALBACETE,02003,967226368
CIOSA,"CLAMOR, C.OPT. OPT.BRAVO Y CLAMOR, C.B.",008337,000355,,MAC,1,7,0,331.00,0.00,9.00,0.00,,,9,2012-04-11,ALBACETE,"ROSARIO, 11",ALBACETE,02001,967212086
CECOP,"GARVI, OPT. LOPEZ CRUZ HUMILDAD",003387,003387,,MAC,,0,14,0.00,552.00,0.00,16.00,16,,,,ALBACETE,C/PADRE ROMANO 12,ALBACETE,02005,967520777
MULTIOPTICAS,"PEREZ SETIEN, OPTICA PEREZ SETIEN S.A.",001145,001145,M06,MAC,,-2,0,-88.00,0.00,-1.00,0.00,12,,12,2011-11-08,ALBACETE,"ROSARIO, 35",ALBACETE,02001,967214821
CECOP,"HOYOS, C.OPT. HOYOS COSTA RAQUEL",008293,008293,,MAC,,0,1,0.00,49.00,0.00,0.00,16,24,6,2011-09-09,ALBACETE,"SAN FRANCISCO, 1",ALMANSA (ALBACETE),02640,967343450
MULTIOPTICAS,MULTIOPTICAS OPTICA FAJARDO C.B.,007943,007943,M06,MAC,,5,0,236.00,0.00,5.00,-2.00,16,13,4,2012-03-14,ALBACETE,"GRAN VIA, 25",HELLIN (ALBACETE),02400,967302832
MULTIOPTICAS,"PEREZ SETIEN, OPTICO LA RODA VISION S.L.",005251,005251,M06,MAC,,0,1,0.00,47.00,0.00,1.00,0,3,,,ALBACETE,"PZ. MAYOR, 18","RODA, LA (ALBACETE)",02630,967441860
FEDEROPTICOS,"CONTRERAS, C.OPT. C.OPT.CONTRERAS,S.L.",004075,004075,,MAC,,1,0,38.00,0.00,0.00,0.00,7,,8,2011-11-08,ALBACETE,"GRACIANO ATIENZA, 7",VILLARROBLEDO(ALBACETE),02600,967142846
ZAS VISION,"FRANCES, OPTICA FRANCES VILAPLANA Mª ANGELES",003588,005116,,MAC,,7,9,329.00,363.00,7.00,10.00,27,16,6,2012-03-09,ALICANTE,"SANTA  ROSA, 18",ALCOY (ALICANTE),03802,965331083
CLARAVISION,CLARAVISION 12 ALCOY OPTICA CLARAVISION ALCOY S.L.L,011640,011640,,MAC,,0,0,0.00,0.00,0.00,-1.00,1,16,,,ALICANTE,"AVD.ALAMEDA, 71",ALCOY(ALICANTE),03802,965523307
VISTALIA,"NOVALUZ, OPT. NOVALUZ S.L.",007713,007713,,MAC,,,,,,,,0,5,,,ALICANTE,"AVD.PAIS VALENCIANO, 10 LOCAL  9",ALFAZ DEL PI (ALICANTE),03580,966860020
PREFERENTES,"CAMBRODI, OPTICA OPTICA CAMBRODI, S.L",012629,012629,,MAC,,0,0,0.00,0.00,0.00,-1.00,0,2,,,ALICANTE,"PLAZA PIO XII, 6",ALICANTE,03013,965208564
CLIENTES IMPORTANTES,"CENTRO FARMACEUTICO (OPTICA)   CENTRO FARMACEUTICO, S.A.",009738,009738,Y31,MAC,,34,0,"1,444.00",0.00,35.00,0.00,,,10,2012-01-26,ALICANTE,"AVD.NOVELDA, 249",ALICANTE,03009,965186495
IMPORTANTES 1,"NOVA, C.OPT. C.OPT.NOVA,S.L.",007187,007187,,MAC,,,,,,,,25,,4,2011-10-04,ALICANTE,"GERONA, 27",ALICANTE,03001,965217735
IMPORTANTES 1,"SAN MATEO, OPT. PROFESALUD, S.L",012760,012760,Y40,MAC,17,0,20,0.00,777.00,17.00,20.00,26,,17,2012-04-24,ALICANTE,"SAN MATEO, 24",ALICANTE,03013,965209155
CLIENTES IMPORTANTES,"ASPE, C.OPT. CENTRO OPTICO ASPE CB",005556,005556,,MAC,,,,,,,,1,,,,ALICANTE,"AVD. MADRID, 11",ASPE (ALICANTE),03680,965494924
CIOSA,"OCULUS, OPTICA PUERTO CALPENA LUIS",008337,011511,,MAC,,19,-1,845.00,-30.00,19.00,-1.00,1,18,19,2012-03-13,ALICANTE,"AVD.PADRE ISMAEL, 61",ASPE (ALICANTE),03680,965491820
CIOSA,"PINA, OPTICA PINA MARTINEZ Mª CARMEN",008337,008246,,MAC,,,,,,,,0,3,,,ALICANTE,"SAN JOSE, 1",BENEJUZAR (ALICANTE),03390,965356285
CIOSA,"LA CALA, OPTICA OPTICA LA CALA, S.L.",008337,008308,,MAC,,3,0,155.00,0.00,3.00,0.00,,,,,ALICANTE,"AV. VILLAJOYOSA, 28",BENIDORM (ALICANTE),03502,966807256
CIOSA,"ATHAVI, OPTICA ATHANE FERNANDEZM ANUNCIACION",008337,008925,,MAC,,1,0,64.00,0.00,1.00,0.00,4,4,,,ALICANTE,"GABRIEL MIRO, 33",CALPE (ALICANTE),03710,965875574
REDVISUAL-PROVISION,EUROPTICA IFACH EUROPTICA IFACH S.L.,005591,005591,,MAC,,2,0,79.00,0.00,2.00,0.00,,,,,ALICANTE,"AV.EJERCITOS ESPAñOLES,7",CALPE (ALICANTE),03710,965838187
REDVISUAL-PROVISION,"IBALENT, OPTICA SABATER LLORACH MARGARITA",007221,007221,,MAC,,,,,,,,0,1,,,ALICANTE,"P. DEL CONDADO, 13",COCENTAINA (ALICANTE),03820,965592103
CLIENTES IMPORTANTES,"EL ALTET, C.OPT. CANDELA BOTELLA SUSANA",005890,005890,,MAC,,0,10,0.00,382.00,0.00,10.00,10,,,,ALICANTE,"AV. DAMA DE ELCHE, 7",EL ALTET (ALICANTE),03195,965687833
CECOP,"AVENIDA, C.OPT. SANCHEZ GOMEZ MIRIAM",007160,007160,,MAC,,0,1,0.00,34.00,0.00,-1.00,2,30,,,ALICANTE,"AVDA.ALICANTE, 87",ELCHE (ALICANTE),03202,966615215
IMPORTANTES 1,"CARRUS, OPT. OPTICA SECTOR V.S.L",013752,013752,,MAC,,,,,,,,0,17,,,ALICANTE,"CAPITAN ANTONIO MENA, 113",ELCHE (ALICANTE),03204,966093838
CLIENTES IMPORTANTES,"ELCHE, C.OPT. ELCHE OPTICA TRADE S.L.",009114,009114,,MAC,,0,20,0.00,788.00,0.00,21.00,21,,,,ALICANTE,"REINA VICTORIA, 34",ELCHE (ALICANTE),03201,966660058
,"MADRID, OPTICA MARTINEZ PEREZ FRANCISCO",008235,008235,,MAC,,11,11,480.00,453.00,11.00,9.00,32,39,11,2012-01-26,ALICANTE,"JOSE NAVARRO ORTS, 20",ELCHE (ALICANTE),03205,965425207
IMPORTANTES 1,B.&.N OPTICAS CALLADO CRESPI ESPERANZA,008317,008317,,MAC,,16,4,651.00,154.00,18.00,8.00,4,22,18,2012-02-22,ALICANTE,"ANTONINO VERA, 31",ELDA (ALICANTE),03600,966982171
IMPORTANTES 1,SAN MATEO  II SAN MATEO S.L.,000655,000655,Y40,MAC,,4,12,175.00,439.00,4.00,12.00,12,0,,,ALICANTE,"REYES CATOLICOS, 14",ELDA (ALICANTE),03600,965397197
REDVISUAL-PROVISION,"IBIOPTICS, OPT. ANTONIO SOLA ALCOLEA",011904,011904,,MAC,,0,3,0.00,122.00,0.00,0.00,3,13,,,ALICANTE,"PZA. MIGUEL SERVET,4",IBI (ALICANTE),03440,966553690
PRIMERA OPTICOS,"LA PAZ, C.OPT. LA PAZ CENTRO OPTICO S.L.",007711,007711,,MAC,,8,0,359.00,0.00,8.00,0.00,0,8,3,2012-01-27,ALICANTE,"AVDA.LA PAZ, 19",IBI (ALICANTE),03440,966553430
CIOSA,"ESPINOSA, C.OPT.AUDITIVO ESPINOSA POMARES EDUARDO",008337,008415,,MAC,3,6,0,269.00,0.00,9.00,0.00,,,1,2012-04-17,ALICANTE,"VIRGEN DESAMPARADOS, 81",NOVELDA (ALICANTE),03660,965602676
NATURAL OPTICS,"NOVELDA, C.OPT. MARTINEZ GARCIA JUAN",005106,005106,,MAC,,,,,,,,0,12,,,ALICANTE,"JAIME II, 44",NOVELDA (ALICANTE),03660,965624655
IMPORTANTES 1,SAN MATEO SAN MATEO S.L.,007115,007115,Y40,MAC,,0,7,0.00,249.00,0.00,7.00,7,,,,ALICANTE,"JAIME II, 14",NOVELDA (ALICANTE),03660,965606729
CLIENTES IMPORTANTES,"AGRASOT, OPTICA OPTICA AGRASOT, S.L.",009039,009039,,MAC,,-1,0,-47.00,0.00,0.00,0.00,0,1,,,ALICANTE,"PINTOR AGRASOT, 44",ORIHUELA (ALICANTE),03300,965303061
CIOSA,"DUQUE DE TAMAMES, OPTICA JIMENEZ LOPEZ MARIA NIEVES",008337,003790,,MAC,,,,,,,,0,10,,,ALICANTE,"DUQUE DE TAMAMES, 39",ORIHUELA (ALICANTE),03300,966743816
CIOSA,INNOVISION CENTRO OPTICO INNOVISION C.B.,008337,006742,,MAC,,16,23,703.00,858.00,16.00,23.00,23,,16,2012-03-15,ALICANTE,"JOSE ANTONIO, 14",ORIHUELA (ALICANTE),03300,965304937
PREFERENTES,"PERALTA, OPTICA PERALTA RODRIGUEZ JULIO",011058,011058,,MAC,,3,4,136.00,171.00,2.00,6.00,16,,10,2011-10-25,ALICANTE,"TENIENTE LINARES, 10",ORIHUELA (ALICANTE),03300,965300779
CIOSA,"COSTA, OPTICA COSTA DURA ADELA",008337,005021,,MAC,,11,0,475.00,0.00,5.00,-1.00,15,9,24,2011-11-26,ALICANTE,"AVDA. JAIME I, 56",PEDREGUER (ALICANTE),03750,966456504
CECOP,"PEGO, OPTICA MENGUAL TAVALLO GLORIA",009259,009259,,MAC,,0,2,0.00,86.00,0.00,0.00,2,2,,,ALICANTE,"JAIME I, 2",PEGO (ALICANTE),03780,965572326
